"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Aug 09 01:10:18 CST 2020","Sun Aug 09 01:10:25 CST 2020","6557","Test.test_case","test_addTopic","TestAddTopic","","","test_add_topic[{""text"": ""你好接口自动化填写的你好接口自动化填写的你好接口自动化填写的你好接口自动化填写的你好接口自动化填写""}-http://localhost:8000/new_topic/]",""
"broken","Sun Aug 09 01:05:16 CST 2020","Sun Aug 09 01:05:23 CST 2020","6519","","test_addTopic","TestAddTopic","","","test_add_topic[{""text"": ""你好接口自动化填写的你好接口自动化填写的你好接口自动化填写的你好接口自动化填写的你好接口自动化填写""}-http://localhost:8000/new_topic/]",""
"broken","Sun Aug 09 01:10:11 CST 2020","Sun Aug 09 01:10:18 CST 2020","7114","Test.test_case","test_addTopic","TestAddTopic","","","test_add_topic[{""text"": ""你""}-http://localhost:8000/new_topic/]",""
"broken","Sun Aug 09 01:10:25 CST 2020","Sun Aug 09 01:10:31 CST 2020","6685","Test.test_case","test_addTopic","TestAddTopic","","","test_add_topic[{""text"": ""你好，接口自动化填写你好，接口自动化填写你好，接口自动化填写你好，接口自动化填写你好，接口自动化填写""}-http://localhost:8000/new_topic/]",""
"broken","Sun Aug 09 01:04:55 CST 2020","Sun Aug 09 01:05:01 CST 2020","6496","","test_addTopic","TestAddTopic","","","test_add_topic[{""text"": ""你好，接口自动化填写""}-http://localhost:8000/new_topic/]",""
"broken","Sun Aug 09 01:09:58 CST 2020","Sun Aug 09 01:10:04 CST 2020","6487","Test.test_case","test_addTopic","TestAddTopic","","","test_add_topic[{""text"": ""你好，接口自动化填写""}-http://localhost:8000/new_topic/]",""
"broken","Sun Aug 09 01:05:23 CST 2020","Sun Aug 09 01:05:29 CST 2020","6528","","test_addTopic","TestAddTopic","","","test_add_topic[{""text"": ""你好，接口自动化填写你好，接口自动化填写你好，接口自动化填写你好，接口自动化填写你好，接口自动化填写""}-http://localhost:8000/new_topic/]",""
"broken","Sun Aug 09 01:05:09 CST 2020","Sun Aug 09 01:05:16 CST 2020","7315","","test_addTopic","TestAddTopic","","","test_add_topic[{""text"": ""你""}-http://localhost:8000/new_topic/]",""
"broken","Sun Aug 09 01:10:04 CST 2020","Sun Aug 09 01:10:11 CST 2020","6623","Test.test_case","test_addTopic","TestAddTopic","","","test_add_topic[{""text"": ""！@#￥%……&*（）——+？》《：{：""}-http://localhost:8000/new_topic/]",""
"broken","Sun Aug 09 01:05:01 CST 2020","Sun Aug 09 01:05:09 CST 2020","7573","","test_addTopic","TestAddTopic","","","test_add_topic[{""text"": ""！@#￥%……&*（）——+？》《：{：""}-http://localhost:8000/new_topic/]",""
